headline,thumbnail,url
日本サッカー協会、中止となったチリ戦のチケット払い戻し方法を発表,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-937148652-2-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180914/831034.html
キャプテンとして勝利に導いた青山敏弘「また強い日本代表を作っていきたい」,https://www.soccer-king.jp/wp-content/uploads/2018/09/795316b92fc766b0181f6fef074f03fa-800x533.png,https://www.soccer-king.jp/news/japan/national/20180911/829219.html
【アンケート】森保ジャパンの初陣、あなたの評価は？,https://www.soccer-king.jp/wp-content/uploads/2018/09/7e27b4446429d4c279ae6c13fa27e739-800x450.jpg,https://www.soccer-king.jp/news/japan/national/20180911/828814.html
【写真ギャラリー】2018.9.11 キリンチャレンジカップ2018 日本代表 3－0 コスタリカ代表,https://www.soccer-king.jp/wp-content/uploads/2018/09/SHIN5306-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180911/829235.html
新生日本代表の船出にセルジオ越後氏も高評価「今までにない競争を感じる」「一番の収穫は…」,https://www.soccer-king.jp/wp-content/uploads/2018/09/daihyo-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180911/829276.html
コスタリカ代表ゴンザレス監督、日本代表は「勝利に相応しかった」,https://www.soccer-king.jp/wp-content/uploads/2018/09/C_Users_Nozomi-Miyamoto_AppData_Local_Packages_Microsoft.SkypeApp_kzf8qxf38zg5c_LocalState_c5b1b16b-daea-4e47-8e75-f84372e89252-1-800x530.png,https://www.soccer-king.jp/news/japan/national/20180911/829297.html
槙野の“予言”が見事的中！「だから言ったでしょ？　面白い試合になるって」,https://www.soccer-king.jp/wp-content/uploads/2018/09/180911_16_Arai-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180911/829301.html
湘南の齊藤未月、遠征中のU19代表から離脱…理由は「所属クラブの事情」,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-1019281172-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829183.html
3発快勝に田嶋会長もご満悦「必ずやいいチームになるという確信を持てた」,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-1005669536-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829311.html
初陣勝利の喜びよりも感謝を語る森保監督「多くの人に支えられた」,https://www.soccer-king.jp/wp-content/uploads/2018/09/180911_03_Arai-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829279.html
無失点勝利に“地の利”あり…東口順昭「景色がいつもと一緒だった」,https://www.soccer-king.jp/wp-content/uploads/2018/09/180911_09_Arai-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829317.html
「今までなかった自分の形」…堂安律が代表デビュー戦で見せたオランダでの進化,https://www.soccer-king.jp/wp-content/uploads/2018/09/KNK_6283-1-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829293.html
代表デビューを飾った天野純「経験したことないプレッシャーあった」,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-1031242606-800x589.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829350.html
【コラム】新10番・中島翔哉の輝きが予感させた森保ジャパンの可能性,https://www.soccer-king.jp/wp-content/uploads/2018/09/180911_04_Arai-1-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829359.html
【コラム】W杯メンバー落選で強まるゴールへの執着心、浅野拓磨が再スタートを切る,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-1031386518-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829638.html
【コラム】若手三銃士を支えた遠藤航、自らが熱望したボランチで示した進化とは,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-1031386634-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829597.html
4年後のW杯で対戦の可能性も…？　コスタリカ戦に出場した日本代表メンバーと同い年の大物選手たち,https://www.soccer-king.jp/wp-content/uploads/2018/09/japan_rivals-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180912/829650.html
横浜FMの天野純、代表デビューから2日後に入籍「日々努力して…」,https://www.soccer-king.jp/wp-content/uploads/2018/09/GettyImages-1031869008-800x533.jpg,https://www.soccer-king.jp/news/japan/national/20180914/830704.html
